IZ, Param, IX=1, +/-, IX=2, +/-, IX=3, +/-, IX=4, +/-, IX=5, +/-, IX=6, +/-, IX=7, +/-, IX=8, +/-, IX=9, +/-, IX=10, +/-, IX=11, +/-, IX=12, +/-, IX=13, +/-, IX=14, +/-, IX=15, +/-, IX=16, +/-, IX=17, +/-, IX=18, +/-, IX=19, +/-, IX=20, +/-, IX=21, +/-, IX=22, +/-, IX=23, +/-, IX=24, +/-, IX=25, +/-, IX=26, +/-, IX=27, +/-, IX=28, +/-, IX=29, +/-, IX=30, +/-, IX=31, +/-, IX=32, +/-, IX=33, +/-, IX=34, +/-, IX=35, +/-, IX=36, +/-, IX=37, +/-, IX=38, +/-, IX=39, +/-, IX=40, +/-, IX=41, +/-, IX=42, +/-, IX=43, +/-, IX=44, +/-, IX=45, +/-, IX=46, +/-, IX=47, +/-, IX=48, +/-, IX=49, +/-, IX=50, +/-, IX=51, +/-, IX=52, +/-, IX=53, +/-, IX=54, +/-, IX=55, +/-, IX=56, +/-, IX=57, +/-, IX=58, +/-, IX=59, +/-, IX=60, +/-
19, K, 6.721E-17, 7.1%, 6.399E-17, 4.3%, 6.518E-17, 3.3%, 5.977E-17, 2.9%, 6.532E-17, 2.4%, 6.271E-17, 2.2%, 6.290E-17, 2.1%, 6.458E-17, 1.9%, 6.188E-17, 1.8%, 5.983E-17, 1.7%, 5.979E-17, 1.7%, 5.995E-17, 1.6%, 5.883E-17, 1.5%, 5.770E-17, 1.5%, 5.645E-17, 1.5%, 5.539E-17, 1.4%, 5.318E-17, 1.4%, 5.183E-17, 1.4%, 5.042E-17, 1.4%, 4.922E-17, 1.3%, 4.759E-17, 1.3%, 4.524E-17, 1.3%, 4.443E-17, 1.3%, 4.229E-17, 1.3%, 4.046E-17, 1.3%, 3.850E-17, 1.3%, 3.797E-17, 1.3%, 3.515E-17, 1.3%, 3.390E-17, 1.3%, 3.176E-17, 1.4%, 3.045E-17, 1.4%, 2.762E-17, 1.4%, 2.621E-17, 1.4%, 2.404E-17, 1.5%, 2.219E-17, 1.5%, 2.058E-17, 1.5%, 1.863E-17, 1.6%, 1.655E-17, 1.7%, 1.538E-17, 1.7%, 1.382E-17, 1.8%, 1.158E-17, 1.9%, 9.935E-18, 2.0%, 8.800E-18, 2.2%, 7.647E-18, 2.3%, 6.554E-18, 2.4%, 5.313E-18, 2.6%, 4.504E-18, 2.8%, 3.702E-18, 3.1%, 3.115E-18, 3.3%, 2.324E-18, 3.7%, 1.948E-18, 4.0%, 1.522E-18, 4.4%, 1.260E-18, 4.6%, 9.853E-19, 4.9%, 8.059E-19, 5.3%, 7.582E-19, 5.4%, 5.569E-19, 5.8%, 6.010E-19, 5.5%, 5.131E-19, 5.9%, 4.854E-19, 5.8%
19, DK, 7.150E-01, 7.4%, 7.281E-01, 4.5%, 7.186E-01, 3.5%, 7.788E-01, 3.0%, 7.145E-01, 2.6%, 7.415E-01, 2.4%, 7.390E-01, 2.2%, 7.145E-01, 2.0%, 7.417E-01, 1.9%, 7.628E-01, 1.8%, 7.514E-01, 1.8%, 7.384E-01, 1.7%, 7.316E-01, 1.6%, 7.363E-01, 1.6%, 7.406E-01, 1.5%, 7.402E-01, 1.5%, 7.527E-01, 1.5%, 7.541E-01, 1.5%, 7.525E-01, 1.4%, 7.506E-01, 1.4%, 7.561E-01, 1.4%, 7.699E-01, 1.4%, 7.585E-01, 1.4%, 7.699E-01, 1.4%, 7.782E-01, 1.4%, 7.863E-01, 1.4%, 7.632E-01, 1.4%, 7.928E-01, 1.4%, 7.863E-01, 1.4%, 8.082E-01, 1.4%, 8.007E-01, 1.4%, 8.373E-01, 1.5%, 8.321E-01, 1.5%, 8.585E-01, 1.5%, 8.759E-01, 1.6%, 8.921E-01, 1.6%, 9.179E-01, 1.7%, 9.686E-01, 1.7%, 9.720E-01, 1.8%, 9.980E-01, 1.8%, 1.098E+00, 2.0%, 1.189E+00, 2.1%, 1.225E+00, 2.2%, 1.295E+00, 2.3%, 1.390E+00, 2.5%, 1.574E+00, 2.7%, 1.712E+00, 2.9%, 1.901E+00, 3.1%, 2.067E+00, 3.4%, 2.544E+00, 3.7%, 2.788E+00, 4.1%, 3.243E+00, 4.4%, 3.605E+00, 4.7%, 4.273E+00, 5.0%, 4.733E+00, 5.4%, 4.598E+00, 5.4%, 5.789E+00, 5.9%, 4.880E+00, 5.5%, 5.111E+00, 6.0%, 4.561E+00, 5.8%
18, T, 5.131E-17, 1.4%, 5.233E-17, 0.9%, 5.246E-17, 0.7%, 5.227E-17, 0.6%, 5.163E-17, 0.6%, 5.169E-17, 0.5%, 5.156E-17, 0.5%, 5.113E-17, 0.4%, 5.045E-17, 0.4%, 4.970E-17, 0.4%, 4.937E-17, 0.4%, 4.842E-17, 0.4%, 4.785E-17, 0.4%, 4.707E-17, 0.3%, 4.612E-17, 0.3%, 4.508E-17, 0.3%, 4.406E-17, 0.3%, 4.302E-17, 0.3%, 4.188E-17, 0.3%, 4.054E-17, 0.3%, 3.929E-17, 0.3%, 3.807E-17, 0.3%, 3.673E-17, 0.3%, 3.559E-17, 0.3%, 3.426E-17, 0.3%, 3.292E-17, 0.3%, 3.161E-17, 0.3%, 3.016E-17, 0.3%, 2.899E-17, 0.3%, 2.754E-17, 0.3%, 2.618E-17, 0.3%, 2.468E-17, 0.3%, 2.338E-17, 0.3%, 2.200E-17, 0.3%, 2.072E-17, 0.3%, 1.944E-17, 0.3%, 1.814E-17, 0.3%, 1.691E-17, 0.3%, 1.572E-17, 0.3%, 1.448E-17, 0.3%, 1.333E-17, 0.3%, 1.225E-17, 0.4%, 1.130E-17, 0.4%, 1.033E-17, 0.4%, 9.474E-18, 0.4%, 8.674E-18, 0.4%, 7.912E-18, 0.4%, 7.237E-18, 0.4%, 6.606E-18, 0.4%, 6.007E-18, 0.4%, 5.506E-18, 0.4%, 5.037E-18, 0.5%, 4.606E-18, 0.5%, 4.224E-18, 0.5%, 3.894E-18, 0.5%, 3.585E-18, 0.5%, 3.285E-18, 0.5%, 2.982E-18, 0.5%, 2.672E-18, 0.5%, 2.292E-18, 0.5%
18, TS, 4.788E-17, 1.4%, 4.882E-17, 0.9%, 4.896E-17, 0.7%, 4.877E-17, 0.6%, 4.819E-17, 0.6%, 4.823E-17, 0.5%, 4.811E-17, 0.5%, 4.770E-17, 0.4%, 4.707E-17, 0.4%, 4.638E-17, 0.4%, 4.606E-17, 0.4%, 4.517E-17, 0.4%, 4.465E-17, 0.4%, 4.392E-17, 0.3%, 4.304E-17, 0.3%, 4.206E-17, 0.3%, 4.111E-17, 0.3%, 4.014E-17, 0.3%, 3.908E-17, 0.3%, 3.783E-17, 0.3%, 3.666E-17, 0.3%, 3.552E-17, 0.3%, 3.427E-17, 0.3%, 3.321E-17, 0.3%, 3.198E-17, 0.3%, 3.072E-17, 0.3%, 2.950E-17, 0.3%, 2.815E-17, 0.3%, 2.704E-17, 0.3%, 2.570E-17, 0.3%, 2.443E-17, 0.3%, 2.303E-17, 0.3%, 2.182E-17, 0.3%, 2.053E-17, 0.3%, 1.933E-17, 0.3%, 1.814E-17, 0.3%, 1.693E-17, 0.3%, 1.578E-17, 0.3%, 1.467E-17, 0.3%, 1.351E-17, 0.3%, 1.244E-17, 0.3%, 1.144E-17, 0.4%, 1.055E-17, 0.4%, 9.638E-18, 0.4%, 8.843E-18, 0.4%, 8.095E-18, 0.4%, 7.385E-18, 0.4%, 6.754E-18, 0.4%, 6.166E-18, 0.4%, 5.607E-18, 0.4%, 5.140E-18, 0.4%, 4.702E-18, 0.5%, 4.299E-18, 0.5%, 3.942E-18, 0.5%, 3.633E-18, 0.5%, 3.346E-18, 0.5%, 3.066E-18, 0.5%, 2.784E-18, 0.5%, 2.495E-18, 0.5%, 2.140E-18, 0.5%
18, K, 6.986E-17, 5.0%, 6.809E-17, 2.9%, 7.136E-17, 2.2%, 7.056E-17, 1.9%, 6.969E-17, 1.7%, 7.011E-17, 1.5%, 7.065E-17, 1.4%, 6.952E-17, 1.3%, 6.846E-17, 1.2%, 6.719E-17, 1.2%, 6.768E-17, 1.1%, 6.504E-17, 1.1%, 6.515E-17, 1.0%, 6.425E-17, 1.0%, 6.249E-17, 1.0%, 6.211E-17, 0.9%, 5.873E-17, 0.9%, 5.798E-17, 0.9%, 5.552E-17, 0.9%, 5.376E-17, 0.9%, 5.142E-17, 0.9%, 4.988E-17, 0.9%, 4.826E-17, 0.9%, 4.532E-17, 0.9%, 4.427E-17, 0.9%, 4.150E-17, 0.9%, 3.992E-17, 0.9%, 3.829E-17, 0.9%, 3.618E-17, 0.9%, 3.405E-17, 0.9%, 3.216E-17, 0.9%, 3.012E-17, 1.0%, 2.751E-17, 1.0%, 2.569E-17, 1.0%, 2.392E-17, 1.0%, 2.135E-17, 1.1%, 1.927E-17, 1.1%, 1.724E-17, 1.1%, 1.538E-17, 1.2%, 1.381E-17, 1.3%, 1.198E-17, 1.3%, 1.034E-17, 1.4%, 9.117E-18, 1.5%, 7.455E-18, 1.6%, 6.403E-18, 1.7%, 5.307E-18, 1.9%, 4.297E-18, 2.0%, 3.540E-18, 2.2%, 2.841E-18, 2.4%, 2.227E-18, 2.7%, 1.820E-18, 2.9%, 1.376E-18, 3.2%, 1.136E-18, 3.4%, 8.548E-19, 3.7%, 7.094E-19, 3.9%, 5.992E-19, 4.0%, 5.524E-19, 3.9%, 4.939E-19, 4.0%, 4.876E-19, 4.0%, 4.426E-19, 4.0%
18, DK, 7.345E-01, 5.2%, 7.685E-01, 3.0%, 7.352E-01, 2.3%, 7.408E-01, 2.0%, 7.409E-01, 1.8%, 7.372E-01, 1.6%, 7.298E-01, 1.4%, 7.355E-01, 1.4%, 7.369E-01, 1.3%, 7.398E-01, 1.2%, 7.294E-01, 1.2%, 7.445E-01, 1.1%, 7.345E-01, 1.1%, 7.326E-01, 1.1%, 7.382E-01, 1.0%, 7.258E-01, 1.0%, 7.501E-01, 1.0%, 7.420E-01, 1.0%, 7.543E-01, 1.0%, 7.541E-01, 1.0%, 7.641E-01, 1.0%, 7.632E-01, 0.9%, 7.610E-01, 0.9%, 7.853E-01, 0.9%, 7.740E-01, 0.9%, 7.932E-01, 0.9%, 7.917E-01, 0.9%, 7.878E-01, 1.0%, 8.012E-01, 1.0%, 8.090E-01, 1.0%, 8.140E-01, 1.0%, 8.193E-01, 1.0%, 8.500E-01, 1.0%, 8.562E-01, 1.0%, 8.662E-01, 1.1%, 9.108E-01, 1.1%, 9.415E-01, 1.1%, 9.809E-01, 1.2%, 1.022E+00, 1.2%, 1.048E+00, 1.3%, 1.113E+00, 1.4%, 1.185E+00, 1.5%, 1.240E+00, 1.5%, 1.385E+00, 1.7%, 1.480E+00, 1.8%, 1.634E+00, 1.9%, 1.841E+00, 2.1%, 2.045E+00, 2.2%, 2.325E+00, 2.5%, 2.697E+00, 2.7%, 3.026E+00, 3.0%, 3.661E+00, 3.2%, 4.055E+00, 3.4%, 4.942E+00, 3.7%, 5.489E+00, 3.9%, 5.983E+00, 4.0%, 5.947E+00, 4.0%, 6.037E+00, 4.0%, 5.481E+00, 4.1%, 5.177E+00, 4.1%
20, T, 2.882E-17, 0.6%, 2.866E-17, 0.4%, 2.868E-17, 0.4%, 2.854E-17, 0.3%, 2.841E-17, 0.3%, 2.818E-17, 0.2%, 2.796E-17, 0.2%, 2.776E-17, 0.2%, 2.749E-17, 0.2%, 2.729E-17, 0.2%, 2.693E-17, 0.2%, 2.657E-17, 0.2%, 2.624E-17, 0.2%, 2.582E-17, 0.2%, 2.538E-17, 0.2%, 2.496E-17, 0.2%, 2.443E-17, 0.2%, 2.394E-17, 0.2%, 2.338E-17, 0.2%, 2.280E-17, 0.1%, 2.219E-17, 0.1%, 2.160E-17, 0.1%, 2.100E-17, 0.1%, 2.037E-17, 0.1%, 1.971E-17, 0.1%, 1.913E-17, 0.1%, 1.848E-17, 0.1%, 1.783E-17, 0.1%, 1.720E-17, 0.1%, 1.652E-17, 0.1%, 1.585E-17, 0.1%, 1.517E-17, 0.1%, 1.455E-17, 0.1%, 1.387E-17, 0.1%, 1.317E-17, 0.1%, 1.251E-17, 0.1%, 1.184E-17, 0.1%, 1.119E-17, 0.1%, 1.056E-17, 0.1%, 9.926E-18, 0.2%, 9.308E-18, 0.2%, 8.717E-18, 0.2%, 8.134E-18, 0.2%, 7.592E-18, 0.2%, 7.058E-18, 0.2%, 6.536E-18, 0.2%, 6.048E-18, 0.2%, 5.596E-18, 0.2%, 5.175E-18, 0.2%, 4.776E-18, 0.2%, 4.399E-18, 0.2%, 4.048E-18, 0.2%, 3.715E-18, 0.2%, 3.421E-18, 0.2%, 3.138E-18, 0.2%, 2.881E-18, 0.2%, 2.631E-18, 0.2%, 2.378E-18, 0.2%, 2.127E-18, 0.2%, 1.801E-18, 0.2%
20, TS, 2.690E-17, 0.6%, 2.676E-17, 0.4%, 2.677E-17, 0.4%, 2.665E-17, 0.3%, 2.652E-17, 0.3%, 2.631E-17, 0.2%, 2.610E-17, 0.2%, 2.592E-17, 0.2%, 2.567E-17, 0.2%, 2.548E-17, 0.2%, 2.514E-17, 0.2%, 2.480E-17, 0.2%, 2.450E-17, 0.2%, 2.411E-17, 0.2%, 2.369E-17, 0.2%, 2.330E-17, 0.2%, 2.281E-17, 0.2%, 2.235E-17, 0.2%, 2.182E-17, 0.1%, 2.128E-17, 0.1%, 2.071E-17, 0.1%, 2.016E-17, 0.1%, 1.961E-17, 0.1%, 1.902E-17, 0.1%, 1.840E-17, 0.1%, 1.786E-17, 0.1%, 1.725E-17, 0.1%, 1.665E-17, 0.1%, 1.606E-17, 0.1%, 1.543E-17, 0.1%, 1.480E-17, 0.1%, 1.416E-17, 0.1%, 1.358E-17, 0.1%, 1.295E-17, 0.1%, 1.230E-17, 0.1%, 1.168E-17, 0.1%, 1.106E-17, 0.1%, 1.045E-17, 0.1%, 9.859E-18, 0.1%, 9.267E-18, 0.2%, 8.690E-18, 0.2%, 8.138E-18, 0.2%, 7.594E-18, 0.2%, 7.088E-18, 0.2%, 6.590E-18, 0.2%, 6.102E-18, 0.2%, 5.647E-18, 0.2%, 5.224E-18, 0.2%, 4.831E-18, 0.2%, 4.459E-18, 0.2%, 4.107E-18, 0.2%, 3.779E-18, 0.2%, 3.468E-18, 0.2%, 3.194E-18, 0.2%, 2.930E-18, 0.2%, 2.689E-18, 0.2%, 2.456E-18, 0.2%, 2.221E-18, 0.2%, 1.986E-18, 0.2%, 1.683E-18, 0.2%
20, K, 3.845E-17, 2.4%, 3.865E-17, 1.4%, 3.955E-17, 1.1%, 3.903E-17, 0.9%, 3.858E-17, 0.8%, 3.818E-17, 0.7%, 3.763E-17, 0.7%, 3.774E-17, 0.6%, 3.755E-17, 0.6%, 3.739E-17, 0.6%, 3.673E-17, 0.5%, 3.648E-17, 0.5%, 3.562E-17, 0.5%, 3.501E-17, 0.5%, 3.442E-17, 0.5%, 3.370E-17, 0.5%, 3.312E-17, 0.5%, 3.197E-17, 0.5%, 3.122E-17, 0.4%, 3.074E-17, 0.4%, 2.946E-17, 0.4%, 2.863E-17, 0.4%, 2.742E-17, 0.4%, 2.651E-17, 0.4%, 2.575E-17, 0.4%, 2.448E-17, 0.4%, 2.368E-17, 0.4%, 2.264E-17, 0.4%, 2.172E-17, 0.4%, 2.088E-17, 0.4%, 1.980E-17, 0.4%, 1.856E-17, 0.4%, 1.770E-17, 0.4%, 1.665E-17, 0.5%, 1.555E-17, 0.5%, 1.454E-17, 0.5%, 1.367E-17, 0.5%, 1.253E-17, 0.5%, 1.158E-17, 0.5%, 1.059E-17, 0.5%, 9.771E-18, 0.5%, 8.669E-18, 0.6%, 7.827E-18, 0.6%, 6.990E-18, 0.6%, 6.148E-18, 0.6%, 5.505E-18, 0.7%, 4.745E-18, 0.7%, 4.147E-18, 0.8%, 3.551E-18, 0.8%, 2.991E-18, 0.9%, 2.528E-18, 0.9%, 2.162E-18, 1.0%, 1.807E-18, 1.1%, 1.507E-18, 1.1%, 1.267E-18, 1.2%, 1.047E-18, 1.3%, 8.381E-19, 1.4%, 7.279E-19, 1.5%, 5.980E-19, 1.6%, 5.263E-19, 1.6%
20, DK, 7.496E-01, 2.5%, 7.415E-01, 1.5%, 7.251E-01, 1.1%, 7.312E-01, 1.0%, 7.364E-01, 0.9%, 7.382E-01, 0.8%, 7.431E-01, 0.7%, 7.357E-01, 0.7%, 7.322E-01, 0.6%, 7.300E-01, 0.6%, 7.330E-01, 0.6%, 7.281E-01, 0.6%, 7.369E-01, 0.5%, 7.377E-01, 0.5%, 7.373E-01, 0.5%, 7.408E-01, 0.5%, 7.378E-01, 0.5%, 7.489E-01, 0.5%, 7.489E-01, 0.5%, 7.417E-01, 0.5%, 7.532E-01, 0.5%, 7.544E-01, 0.5%, 7.661E-01, 0.5%, 7.684E-01, 0.5%, 7.653E-01, 0.4%, 7.816E-01, 0.5%, 7.803E-01, 0.4%, 7.876E-01, 0.5%, 7.919E-01, 0.5%, 7.912E-01, 0.5%, 8.006E-01, 0.5%, 8.174E-01, 0.5%, 8.219E-01, 0.5%, 8.333E-01, 0.5%, 8.468E-01, 0.5%, 8.600E-01, 0.5%, 8.663E-01, 0.5%, 8.931E-01, 0.5%, 9.118E-01, 0.5%, 9.369E-01, 0.5%, 9.526E-01, 0.6%, 1.006E+00, 0.6%, 1.039E+00, 0.6%, 1.086E+00, 0.6%, 1.148E+00, 0.7%, 1.187E+00, 0.7%, 1.275E+00, 0.7%, 1.349E+00, 0.8%, 1.458E+00, 0.8%, 1.597E+00, 0.9%, 1.740E+00, 1.0%, 1.872E+00, 1.0%, 2.056E+00, 1.1%, 2.270E+00, 1.2%, 2.476E+00, 1.3%, 2.751E+00, 1.3%, 3.139E+00, 1.5%, 3.267E+00, 1.5%, 3.557E+00, 1.6%, 3.422E+00, 1.7%
